Id;Name;Description;ServerName;TopicName;Address;Coef;Offset;LogEnabled;AlEnabled;AlBool;MemTag;MbsTcpEnabled;MbsTcpFloat;SnmpEnabled;RTLogEnabled;AlAutoAck;ForceRO;SnmpOID;AutoType;AlHint;AlHigh;AlLow;AlTimeDB;AlLevelDB;IVGroupA;IVGroupB;IVGroupC;IVGroupD;PageId;RTLogWindow;RTLogTimer;LogDB;LogTimer;AlLoLo;AlHiHi;MbsTcpRegister;MbsTcpCoef;MbsTcpOffset;EEN;ETO;ECC;ESU;EAT;ESH;SEN;STO;SSU;TEN;TSU;FEN;FFN;FCO;KPI;UseCustomUnit;Type;Unit;AlStat;ChangeTime;TagValue;TagQuality;AlType
17;1-1-THD;;MODBUS;A;30143W;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;50.000000;-10.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
18;1-2-W;;MODBUS;A;30147M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
19;1-2-PF;Facteur de puissance;MODBUS;A;30150I;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0; Facteur de puissance de la phase 2 départ 1 est inférieur à 0,75;150.000000;75.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;8;xxx@xxx.fr;; Facteur de puissance de la phase 2 départ 1 est inférieur à 0,75;;0;8;"0000000000,gsm,0;"; Facteur de puissance de la phase 2 départ 1 est inférieur à 0,75;0;;0;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
20;1-2-THD;;MODBUS;A;30151W;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;50.000000;-10.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
21;1-3-W;;MODBUS;A;30155M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
22;1-3-THD;;MODBUS;A;30159W;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;50.000000;-10.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
23;SUM_W_1;Index EA tri;MODBUS;A;38001E;0.100000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;0;1;0;6;600;10;-1.000000;600;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kWh;0;01/01/1970 01:00;0;24;0
24;SUM_VAR_1;Index Eq tri;MODBUS;A;38007E;0.100000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;0;1;0;6;600;10;-1.000000;600;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
25;SUM_VA_1;Index Es tri;MODBUS;A;38013E;0.100000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;0;1;0;6;600;10;-1.000000;600;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
26;SUM_W_2;Index EA tri;MODBUS;A;38019E;0.100000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;0;1;0;6;600;10;-1.000000;600;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kWh;0;01/01/1970 01:00;0;24;0
27;SUM_VAR_2;Index Eq tri;MODBUS;A;38025E;0.100000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;0;1;0;6;600;10;-1.000000;600;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
28;SUM_VA_2;Index Es tri;MODBUS;A;38031E;0.100000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;0;1;0;6;600;10;-1.000000;600;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
29;Consigne_THD;;MEM;RET;Consigne_THD;1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;0;0;1;5;600;10;-1.000000;0;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;2;P1;0;15/12/2020 16:23;0;65472;0
30;Consigne_PF;Consigne facteur de puissance;MEM;RET;Consigne_PF;1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;0;0;1;5;600;10;-1.000000;0;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;2;P1;0;15/12/2020 16:23;0;65472;0
31;2-TOT-W;;MODBUS;A;30165M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
32;3-TOT-W;;MODBUS;A;30205M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
33;4-TOT-W;;MODBUS;A;30245M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
34;5-TOT-W;;MODBUS;A;30285M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
35;6-TOT-W;;MODBUS;A;30325M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
36;7-TOT-W;;MODBUS;A;30365M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
37;8-TOT-W;;MODBUS;A;30405M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
38;9-TOT-W;;MODBUS;A;30445M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
39;2-TOT-VAR;;MODBUS;A;30167M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
40;3-TOT-VAR;;MODBUS;A;30207M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
41;4-TOT-VAR;;MODBUS;A;30247M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
42;5-TOT-VAR;;MODBUS;A;30287M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
43;6-TOT-VAR;;MODBUS;A;30327M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
44;7-TOT-VAR;;MODBUS;A;30367M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
45;8-TOT-VAR;;MODBUS;A;30407M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
46;9-TOT-VAR;;MODBUS;A;30447M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
47;2-TOT-VA;;MODBUS;A;30169E;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
48;3-TOT-VA;;MODBUS;A;30209E;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
49;4-TOT-VA;;MODBUS;A;30249E;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
50;5-TOT-VA;;MODBUS;A;30289E;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
51;6-TOT-VA;;MODBUS;A;30329E;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
52;7-TOT-VA;;MODBUS;A;30369E;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
53;8-TOT-VA;;MODBUS;A;30409E;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
54;TOT_VA_9;;MODBUS;A;30449E;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
55;2-TOT-PF-MOY;Facteur de puissance moyen;MODBUS;A;30171I;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
56;3-TOT-PF-MOY;Facteur de puissance moyen;MODBUS;A;30211I;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
57;4-TOT-PF-MOY;Facteur de puissance moyen;MODBUS;A;30251I;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
58;5-TOT-PF-MOY;Facteur de puissance moyen;MODBUS;A;30291I;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
59;6-TOT-PF-MOY;Facteur de puissance moyen;MODBUS;A;30331I;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
60;7-TOT-PF-MOY;Facteur de puissance moyen;MODBUS;A;30371I;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
61;8-TOT-PF-MOY;Facteur de puissance moyen;MODBUS;A;30411I;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
62;9-TOT-PF-MOY;Facteur de puissance moyen;MODBUS;A;30451I;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
63;2-1-W;;MODBUS;A;30179M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
64;3-1-W;;MODBUS;A;30219M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
65;4-1-W;;MODBUS;A;30259M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
66;5-1-W;;MODBUS;A;30299M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
67;6-1-W;;MODBUS;A;30339M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
68;7-1-W;;MODBUS;A;30379M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
69;8-1-W;;MODBUS;A;30419M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
70;9-1-W;;MODBUS;A;30459M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
71;2-1-PF;Facteur de puissance;MODBUS;A;30182I;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0; Facteur de puissance de la phase 1 départ 2 est inférieur à 0,75;150.000000;75.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;8;xxx@xxx.fr;; Facteur de puissance de la phase 1 départ 2 est inférieur à 0,75;;0;8;"0000000000,gsm,0;"; Facteur de puissance de la phase 1 départ 2 est inférieur à 0,75;0;;0;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
72;3-1-PF;Facteur de puissance;MODBUS;A;30222I;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0; Facteur de puissance de la phase 1 départ 3 est inférieur à 0,75;150.000000;75.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;8;xxx@xxx.fr;; Facteur de puissance de la phase 1 départ 3 est inférieur à 0,75;;0;8;"0000000000,gsm,0;"; Facteur de puissance de la phase 1 départ 3 est inférieur à 0,75;0;;0;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
73;4-1-PF;Facteur de puissance;MODBUS;A;30262I;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0; Facteur de puissance de la phase 1 départ 4 est inférieur à 0,75;150.000000;75.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;8;xxx@xxx.fr;; Facteur de puissance de la phase 1 départ 4 est inférieur à 0,75;;0;8;"0000000000,gsm,0;"; Facteur de puissance de la phase 1 départ 4 est inférieur à 0,75;0;;0;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
74;5-1-PF;Facteur de puissance;MODBUS;A;30302I;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0; Facteur de puissance de la phase 1 départ 5 est inférieur à 0,75;150.000000;75.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;8;xxx@xxx.fr;; Facteur de puissance de la phase 1 départ 5 est inférieur à 0,75;;0;8;"0000000000,gsm,0;"; Facteur de puissance de la phase 1 départ 5 est inférieur à 0,75;0;;0;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
75;6-1-PF;Facteur de puissance;MODBUS;A;30342I;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0; Facteur de puissance de la phase 1 départ 6 est inférieur à 0,75;150.000000;75.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;8;xxx@xxx.fr;; Facteur de puissance de la phase 1 départ 6 est inférieur à 0,75;;0;8;"0000000000,gsm,0;"; Facteur de puissance de la phase 1 départ 6 est inférieur à 0,75;0;;0;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
